OrderID,Date,Product,Category,Quantity,Price,Customer,Region
1000,2023-01-01,Charger,Accessories,4,960,Customer_15,East
1001,2023-01-04,Tablet,Electronics,5,566,Customer_23,East
1002,2023-01-07,Tablet,Electronics,5,3271,Customer_40,West
1003,2023-01-10,Keyboard,Accessories,6,869,Customer_24,West
1004,2023-01-13,Phone,Electronics,2,1284,Customer_12,South
1005,2023-01-16,Phone,Electronics,9,574,Customer_42,West
1006,2023-01-19,Keyboard,Accessories,7,1367,Customer_3,North
1007,2023-01-22,Keyboard,Accessories,7,2988,Customer_39,South
1008,2023-01-25,Monitor,Electronics,9,2463,Customer_14,South
1009,2023-01-28,Smartwatch,Electronics,9,2712,Customer_2,West
1010,2023-01-31,Charger,Accessories,8,4114,Customer_35,South
1011,2023-02-03,Laptop,Electronics,4,1685,Customer_40,West
1012,2023-02-06,Mouse,Accessories,6,2713,Customer_42,West
1013,2023-02-09,Phone,Electronics,2,261,Customer_10,South
1014,2023-02-12,Monitor,Electronics,8,3898,Customer_40,North
1015,2023-02-15,Mouse,Accessories,5,4987,Customer_26,North
1016,2023-02-18,Speaker,Audio,1,2668,Customer_24,North
1017,2023-02-22,Tablet,Electronics,8,491,Customer_35,East
1018,2023-02-25,Laptop,Electronics,5,3661,Customer_39,South
1019,2023-02-28,Speaker,Audio,7,300,Customer_8,West
1020,2023-03-03,Mouse,Accessories,1,4698,Customer_23,South
1021,2023-03-06,Tablet,Electronics,5,2831,Customer_40,South
1022,2023-03-09,Keyboard,Accessories,1,2790,Customer_1,North
1023,2023-03-12,Smartwatch,Electronics,7,4593,Customer_39,East
1024,2023-03-15,Speaker,Audio,3,963,Customer_39,North
1025,2023-03-18,Monitor,Electronics,4,1857,Customer_37,East
1026,2023-03-21,Charger,Accessories,4,1822,Customer_22,West
1027,2023-03-24,Mouse,Accessories,9,3160,Customer_6,West
1028,2023-03-27,Monitor,Electronics,7,3402,Customer_33,North
1029,2023-03-30,Speaker,Audio,9,2775,Customer_13,North
1030,2023-04-02,Keyboard,Accessories,7,809,Customer_8,East
1031,2023-04-05,Speaker,Audio,5,4879,Customer_24,East
1032,2023-04-08,Phone,Electronics,8,3404,Customer_49,South
1033,2023-04-11,Laptop,Electronics,4,1391,Customer_39,South
1034,2023-04-15,Keyboard,Accessories,1,1736,Customer_49,West
1035,2023-04-18,Laptop,Electronics,1,4197,Customer_2,West
1036,2023-04-21,Phone,Electronics,7,3574,Customer_2,North
1037,2023-04-24,Smartwatch,Electronics,6,3610,Customer_11,West
1038,2023-04-27,Laptop,Electronics,6,2427,Customer_5,West
1039,2023-04-30,Mouse,Accessories,6,2030,Customer_48,West
1040,2023-05-03,Laptop,Electronics,9,1247,Customer_6,West
1041,2023-05-06,Keyboard,Accessories,4,2911,Customer_36,East
1042,2023-05-09,Smartwatch,Electronics,3,246,Customer_20,West
1043,2023-05-12,Charger,Accessories,4,588,Customer_33,West
1044,2023-05-15,Charger,Accessories,2,3019,Customer_1,East
1045,2023-05-18,Speaker,Audio,9,4161,Customer_42,East
1046,2023-05-21,Charger,Accessories,9,3743,Customer_49,South
1047,2023-05-24,Laptop,Electronics,5,3208,Customer_32,East
1048,2023-05-27,Charger,Accessories,9,3270,Customer_19,West
1049,2023-05-30,Keyboard,Accessories,4,3291,Customer_33,West
1050,2023-06-02,Monitor,Electronics,1,1545,Customer_40,West
1051,2023-06-06,Keyboard,Accessories,9,198,Customer_25,North
1052,2023-06-09,Mouse,Accessories,2,3877,Customer_35,West
1053,2023-06-12,Speaker,Audio,4,260,Customer_4,North
1054,2023-06-15,Headphones,Audio,4,1627,Customer_8,East
1055,2023-06-18,Keyboard,Accessories,1,4835,Customer_33,West
1056,2023-06-21,Keyboard,Accessories,6,3546,Customer_22,South
1057,2023-06-24,Phone,Electronics,6,3536,Customer_8,East
1058,2023-06-27,Mouse,Accessories,5,4993,Customer_33,West
1059,2023-06-30,Laptop,Electronics,5,3167,Customer_48,East
1060,2023-07-03,Monitor,Electronics,3,3220,Customer_17,West
1061,2023-07-06,Headphones,Audio,6,1160,Customer_24,North
1062,2023-07-09,Laptop,Electronics,5,706,Customer_35,West
1063,2023-07-12,Laptop,Electronics,4,290,Customer_21,West
1064,2023-07-15,Charger,Accessories,1,3427,Customer_3,West
1065,2023-07-18,Mouse,Accessories,9,669,Customer_3,West
1066,2023-07-21,Tablet,Electronics,2,4114,Customer_22,East
1067,2023-07-24,Mouse,Accessories,2,4157,Customer_17,West
1068,2023-07-28,Laptop,Electronics,9,4441,Customer_48,East
1069,2023-07-31,Smartwatch,Electronics,7,637,Customer_35,South
1070,2023-08-03,Speaker,Audio,8,624,Customer_7,North
1071,2023-08-06,Monitor,Electronics,4,2468,Customer_8,West
1072,2023-08-09,Keyboard,Accessories,7,1266,Customer_28,South
1073,2023-08-12,Mouse,Accessories,7,2082,Customer_22,East
1074,2023-08-15,Speaker,Audio,6,1815,Customer_42,South
1075,2023-08-18,Phone,Electronics,5,3224,Customer_44,West
1076,2023-08-21,Headphones,Audio,7,4969,Customer_45,West
1077,2023-08-24,Monitor,Electronics,3,4464,Customer_50,West
1078,2023-08-27,Smartwatch,Electronics,3,4852,Customer_19,West
1079,2023-08-30,Smartwatch,Electronics,7,1469,Customer_37,South
1080,2023-09-02,Headphones,Audio,7,1250,Customer_9,West
